ux,uy,uz,Ts,CO2,H2O
 -0.577250, -3.027500, -0.858250,  8.802426, 16.940000,407.600000
 -0.666250, -2.809750, -0.783250,  8.820883, 16.940000,405.100000
 -0.796750, -2.654750, -0.785750,  8.908010, 16.950000,404.000000
 -0.302250, -2.536750, -0.932750,  8.904634, 16.920000,408.200000
 -0.106250, -2.801250, -0.852000,  8.929792, 16.930000,408.000000
 -0.268750, -2.256750, -0.884000,  8.968300, 16.930000,408.000000
 -0.250250, -2.441000, -0.791000,  8.941504, 16.940000,408.000000
 -0.291250, -2.658000, -0.897750,  8.914708, 16.940000,406.400000
 -0.615250, -2.869250, -0.761250,  9.033661, 16.930000,407.700000
 -0.793000, -2.641000, -0.892000,  9.062150, 16.920000,409.100000
 -0.606500, -2.659750, -1.102000,  9.112431, 16.930000,408.300000
 -0.378500, -2.658250, -0.995000,  9.055449, 16.920000,410.300000
 -0.529250, -2.551000, -0.883500,  9.058825, 16.930000,408.600000
 -0.237500, -2.050500, -1.039250,  9.142612, 16.920000,409.600000
  0.468250, -2.266500, -0.730250,  9.045424, 16.920000,409.000000
  0.643750, -2.693000, -0.419750,  9.147625, 16.920000,410.000000
  0.901500, -2.578250, -0.593500,  9.372296, 16.910000,410.700000
  0.841250, -2.680000, -0.679000,  9.405869, 16.910000,411.200000
  0.739250, -2.445000, -0.629250,  9.280085, 16.900000,412.100000
  1.009250, -2.410500, -0.719250,  9.115807, 16.890000,412.300000
  0.472750, -2.231250, -0.561000,  9.144300, 16.910000,411.600000
 -0.188500, -2.227250, -0.577750,  9.078926, 16.910000,410.800000
 -0.532750, -2.109250, -0.541750,  9.006861, 16.910000,410.600000
 -0.389750, -2.329250, -0.658000,  9.037036, 16.910000,410.400000
 -0.329250, -2.159500, -0.980250,  9.020261, 16.920000,410.300000
 -0.384750, -2.117750, -0.914750,  9.092328, 16.910000,410.400000
